nfe,sales,dist,sales_norm,dist_norm,zipcodes,elapsed,hv,PF
1050000,1143913,41161.08,0.35600000000000004,0.295,42349 69181 79194 72138 45770 24106 79541 88287 38442 83064 82256 21529 15732 3042 46562 ,139998,0.6266,True
1050000,1144358,41126.16,0.35600000000000004,0.29600000000000004,42349 69181 79194 72138 45770 24106 79541 88287 83022 82256 38448 21529 15732 3042 46562 ,137033,0.6296,True
1050000,1146878,41106.0,0.353,0.29600000000000004,42349 69181 79194 72138 45770 24106 79541 88287 83022 38442 82256 21529 15732 3042 46562 ,191735,0.6361,True
1050000,1149412,41015.02,0.35100000000000003,0.299,42349 69181 79194 72138 45770 24106 79541 88287 83022 38442 82256 21529 15732 52382 3042 ,139998,0.6266,True
1050000,1150022,40923.15,0.35,0.303,42349 69181 79194 72138 45770 24106 79594 59077 38442 83064 82256 21529 88097 12527 3042 ,135262,0.6349,True
1050000,1150710,40908.98,0.349,0.303,42349 69181 79194 72138 45770 24106 79541 88287 32584 83064 82256 21529 15732 3042 46562 ,133554,0.6352,True
1050000,1151141,40897.07,0.349,0.303,42349 69181 72138 79098 45770 24106 59199 79594 38442 83064 82256 21529 15732 88097 3042 ,136775,0.6245,True
1050000,1151623,40890.0,0.348,0.304,42349 69181 72138 79098 45770 24106 79541 59199 38442 83064 82256 21529 88097 12527 3042 ,211777,0.6357,True
1050000,1152443,40889.42,0.348,0.304,42349 69181 79194 72138 45770 24106 59199 79594 38442 83064 82256 21529 88097 12527 3042 ,122761,0.6364,True
1050000,1152495,40876.49,0.348,0.304,42349 69181 72138 79098 45770 24106 79541 59077 38442 83064 82256 21529 15732 88097 3042 ,134356,0.6328,True
1050000,1153315,40876.0,0.34700000000000003,0.304,42349 69181 79194 72138 45770 24106 79594 59077 38442 83064 82256 21529 15732 88097 3042 ,188007,0.6353,True
1050000,1153797,40869.0,0.34600000000000003,0.304,42349 69181 79194 72138 45770 24106 79541 59077 38442 83064 82256 21529 88097 12527 3042 ,206038,0.6381,True
1050000,1155410,40858.0,0.345,0.305,42349 69181 72138 79098 45770 24106 79594 59077 88287 83064 82256 38448 21529 12527 3042 ,176079,0.6359,True
1050000,1155482,40844.0,0.345,0.305,42349 69181 72138 79098 45770 24106 79594 59063 88287 83064 82256 38448 21529 12527 3042 ,205091,0.6332,True
1050000,1155736,40842.0,0.344,0.305,42349 69181 79194 72138 45770 24106 59199 79594 38442 83064 82256 21529 15732 88097 3042 ,193026,0.6174,True
